06-52-26.803,49.72,0
06-52-26.929,49.73,0
06-52-27.052,50.16,0
06-52-27.171,50.11,0
06-52-27.304,50.39,0
06-52-27.428,50.41,0
06-52-27.556,50.83,0
06-52-27.680,51.26,0
06-52-27.804,53.24,0
06-52-27.928,53.58,0
06-52-28.054,54.53,0
06-52-28.175,55.48,0
06-52-28.305,56.15,0
06-52-28.427,56.80,0
06-52-28.554,57.02,0
06-52-28.678,57.01,0
06-52-28.803,57.58,0
06-52-28.928,57.85,0
06-52-29.054,57.11,0
06-52-29.177,56.02,0
06-52-29.306,52.48,0
06-52-29.428,50.47,0
06-52-29.554,50.15,0
06-52-29.679,49.75,0
06-52-29.804,49.62,0
06-52-29.928,49.43,0
06-52-30.055,49.69,0
06-52-30.179,49.73,0
06-52-30.298,50.22,0
06-52-30.427,52.03,0
06-52-30.554,54.45,0
06-52-30.678,56.01,0
06-52-30.803,55.96,0
06-52-30.929,54.98,0
06-52-31.053,53.68,0
06-52-31.175,53.49,0
06-52-31.303,57.60,0
06-52-31.426,57.99,0
06-52-31.556,58.96,0
06-52-31.678,58.51,0
06-52-31.803,57.42,0
06-52-31.931,56.79,0
06-52-32.054,56.08,0
06-52-32.170,55.91,0
06-52-32.303,55.64,0
06-52-32.428,55.49,0
06-52-32.556,56.02,0
06-52-32.677,54.25,0
06-52-32.805,53.61,0
06-52-32.928,51.75,0
06-52-33.056,50.10,0
06-52-33.177,51.52,0
06-52-33.305,51.97,0
06-52-33.427,52.98,0
06-52-33.554,55.04,0
06-52-33.678,56.80,0
06-52-33.802,58.60,0
06-52-33.927,59.23,0
06-52-34.054,59.94,0
06-52-34.178,58.89,1
06-52-34.295,58.45,0
06-52-34.424,57.33,0
06-52-34.553,57.32,0
06-52-34.679,56.39,0
06-52-34.804,54.49,0
06-52-34.928,52.50,0
06-52-35.054,51.45,0
06-52-35.177,56.81,0
06-52-35.306,57.96,0
06-52-35.429,58.30,0
06-52-35.554,58.75,0
06-52-35.678,56.30,0
06-52-35.803,57.09,0
06-52-35.928,56.99,0
06-52-36.054,55.86,0
06-52-36.172,55.02,0
06-52-36.306,52.21,0
06-52-36.428,49.97,0
06-52-36.554,49.24,0
06-52-36.678,49.34,0
06-52-36.805,51.38,0
06-52-36.928,51.79,0
06-52-37.056,51.87,0
06-52-37.176,54.35,0
06-52-37.304,54.49,0
06-52-37.428,55.28,0
06-52-37.556,55.18,0
06-52-37.677,53.37,0
06-52-37.804,52.34,0
06-52-37.928,53.30,0
06-52-38.054,53.87,0
06-52-38.178,53.53,0
06-52-38.294,53.34,0
06-52-38.425,50.40,0
06-52-38.552,51.24,0
06-52-38.677,53.13,0
06-52-38.803,55.86,0
06-52-38.929,57.10,0
06-52-39.055,56.73,0
06-52-39.177,56.53,0
06-52-39.304,54.15,0
06-52-39.427,53.89,0
06-52-39.553,54.41,0
06-52-39.679,55.51,0
06-52-39.803,56.17,0
06-52-39.929,55.69,0
06-52-40.052,55.53,0
06-52-40.168,53.77,0
06-52-40.303,52.33,0
06-52-40.427,52.85,0
06-52-40.553,52.84,0
06-52-40.678,56.44,0
06-52-40.802,58.62,0
06-52-40.929,58.78,0
06-52-41.051,59.58,0
06-52-41.169,57.49,0
06-52-41.304,57.35,0
06-52-41.427,56.58,0
06-52-41.552,57.58,0
06-52-41.679,56.71,0
06-52-41.802,55.78,0
06-52-41.928,54.94,0
06-52-42.052,51.96,0
06-52-42.179,51.51,0
06-52-42.299,52.70,0
06-52-42.428,54.76,0
06-52-42.552,56.94,0
06-52-42.677,57.84,0
06-52-42.802,61.64,0
06-52-42.927,63.20,0
06-52-43.053,62.75,0
06-52-43.179,61.81,1
06-52-43.299,57.17,1
06-52-43.427,54.00,0
06-52-43.553,55.59,0
06-52-43.679,55.91,0
06-52-43.802,55.13,0
06-52-43.928,53.40,0
06-52-44.053,50.79,0
